cli_codigo;cnae;cnae_descr;cne_cnae_principal
1985557;4744-0/01;Comércio varejista de ferragens e ferramentas;0
1985557;3314-7/13;Manutenção e reparação de máquinas-ferramenta;0
1986082;4211-1/01;Construção de rodovias e ferrovias;1
1986082;2399-1/99;Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;0
1986082;6810-2/02;Aluguel de imóveis próprios;0
1986082;0810-0/99;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;0
1986082;4313-4/00;Obras de terraplenagem;0
1986082;4744-0/99;Comércio varejista de materiais de construção em geral;0
1986082;0810-0/07;Extração de argila e beneficiamento associado;0
1986082;4930-2/03;Transporte rodoviário de produtos perigosos;0
1986082;7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;0
1986082;0810-0/06;Extração de areia, cascalho ou pedregulho e beneficiamento associado;0
1986082;0810-0/08;Extração de saibro e beneficiamento associado;0
1986082;4399-1/01;Administração de obras;0
1986082;8211-3/00;Serviços combinados de escritório e apoio administrativo;0
1986082;7112-0/00;Serviços de engenharia;0
1986082;0810-0/02;Extração de granito e beneficiamento associado;0
1986082;4222-7/01;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;0
1986082;0899-1/99;Extração de outros minerais não-metálicos não especificados anteriormente;0
1986082;4212-0/00;Construção de obras-de-arte especiais;0
1986082;0810-0/09;Extração de basalto e beneficiamento associado;0
1986082;4213-8/00;Obras de urbanização - ruas, praças e calçadas;0
1986082;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
1989284;2930-1/03;Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;1
1989611;4743-1/00;Comércio varejista de vidros;1
1989611;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
1989860;2823-2/00;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;1
1989860;4757-1/00;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;0
1989860;9521-5/00;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;0
2003525;9529-1/99;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;1
2003525;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;0
2003525;4520-0/07;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;0
2003525;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;0
2011462;4671-1/00;Comércio atacadista de madeira e produtos derivados;1
2011462;0230-6/00;Atividades de apoio à produção florestal;0
2011462;0161-0/03;Serviço de preparação de terreno, cultivo e colheita;0
2011462;0161-0/99;Atividades de apoio à agricultura não especificadas anteriormente;0
2011462;0210-1/07;Extração de madeira em florestas plantadas;0
2011462;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2019998;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2019998;5229-0/02;Serviços de reboque de veículos;0
2019998;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2019998;4511-1/01;Comércio a varejo de automóveis, camionetas e utilitários novos;0
2019998;4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores;0
2019998;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2020646;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2020646;4530-7/04;Comércio a varejo de peças e acessórios usados para veículos automotores;0
2020646;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;0
2020646;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2025207;4681-8/05;Comércio atacadista de lubrificantes;1
2025207;3811-4/00;Coleta de resíduos não-perigosos;0
2025207;4930-2/03;Transporte rodoviário de produtos perigosos;0
2025207;5030-1/02;Navegação de apoio portuário;0
2025207;7740-3/00;Gestão de ativos intangíveis não-financeiros;0
2025207;5239-7/99;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;0
2025207;4637-1/03;Comércio atacadista de óleos e gorduras;0
2025207;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;0
2025207;3900-5/00;Descontaminação e outros serviços de gestão de resíduos;0
2025207;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2025207;5030-1/01;Navegação de apoio marítimo;0
2025207;3839-4/99;Recuperação de materiais não especificados anteriormente;0
2025207;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2025207;3822-0/00;Tratamento e disposição de resíduos perigosos;0
2025207;3812-2/00;Coleta de resíduos perigosos;0
2025207;7719-5/99;Locação de outros meios de transporte não especificados anteriormente, sem condutor;0
2025207;4732-6/00;Comércio varejista de lubrificantes;0
2025207;5021-1/02;Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia;0
2025209;4681-8/05;Comércio atacadista de lubrificantes;1
2025209;3812-2/00;Coleta de resíduos perigosos;0
2025210;3812-2/00;Coleta de resíduos perigosos;1
2025210;4637-1/03;Comércio atacadista de óleos e gorduras;0
2025210;4681-8/05;Comércio atacadista de lubrificantes;0
2025468;1629-3/01;Fabricação de artefatos diversos de madeira, exceto móveis;1
2036630;2330-3/02;Fabricação de artefatos de cimento para uso na construção;1
2036630;2330-3/99;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;1
2036630;4689-3/01;Comércio atacadista de produtos da extração mineral, exceto combustíveis;0
2036630;2330-3/02;Fabricação de artefatos de cimento para uso na construção;0
2036630;4744-0/99;Comércio varejista de materiais de construção em geral;0
2036630;2330-3/01;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;0
2036630;7711-0/00;Locação de automóveis sem condutor;0
2036630;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2036630;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2036630;4744-0/04;Comércio varejista de cal, areia, pedra britada, tijolos e telhas;0
2040699;3811-4/00;Coleta de resíduos não-perigosos;1
2040699;3821-1/00;Tratamento e disposição de resíduos não-perigosos;0
2040699;4744-0/99;Comércio varejista de materiais de construção em geral;0
2040699;3831-9/99;Recuperação de materiais metálicos, exceto alumínio;0
2041727;2829-1/99;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;1
2041727;0321-3/05;Atividades de apoio à aqüicultura em água salgada e salobra;0
2041727;4669-9/99;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";0
2041727;3321-0/00;Instalação de máquinas e equipamentos industriais;0
2041727;2833-0/00;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;0
2041727;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
2041727;4618-4/99;Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;0
2041727;4634-6/03;Comércio atacadista de pescados e frutos do mar;0
2041727;2521-7/00;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;0
2041727;6463-8/00;Outras sociedades de participação, exceto holdings;0
2041727;0322-1/07;Atividades de apoio à aqüicultura em água doce;0
2041727;7210-0/00;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;0
2041727;2812-7/00;Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;0
2041964;2222-6/00;Fabricação de embalagens de material plástico;1
2041964;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;0
2041964;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2044569;3101-2/00;Fabricação de móveis com predominância de madeira;1
2044569;3102-1/00;Fabricação de móveis com predominância de metal;0
2044569;9529-1/05;Reparação de artigos do mobiliário;0
2044569;2391-5/03;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;0
2044569;4754-7/01;Comércio varejista de móveis;0
2045099;4755-5/01;Comércio varejista de tecidos;1
2048015;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2048015;4744-0/01;Comércio varejista de ferragens e ferramentas;0
2048015;4744-0/99;Comércio varejista de materiais de construção em geral;0
2048015;4741-5/00;Comércio varejista de tintas e materiais para pintura;0
2048015;4669-9/01;"Comércio atacadista de bombas e compressores; partes e peças";0
2048015;4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";0
2048015;4751-2/01;Comércio varejista especializado de equipamentos e suprimentos de informática;0
2048015;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2048015;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2048015;4530-7/05;Comércio a varejo de pneumáticos e câmaras-de-ar;0
2048015;4744-0/03;Comércio varejista de materiais hidráulicos;0
2048015;4541-2/06;Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;0
2048015;4744-0/06;Comércio varejista de pedras para revestimento;0
2048015;4743-1/00;Comércio varejista de vidros;0
2048015;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";0
2048015;4732-6/00;Comércio varejista de lubrificantes;0
2049098;1412-6/03;Facção de peças do vestuário, exceto roupas íntimas;1
2053149;1412-6/01;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
2053149;1412-6/03;Facção de peças do vestuário, exceto roupas íntimas;0
2053149;1411-8/01;Confecção de roupas íntimas;0
2053149;4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;0
2054559;4643-5/01;Comércio atacadista de calçados;1
2054559;4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;0
2054559;4639-7/01;Comércio atacadista de produtos alimentícios em geral;0
2054559;4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem;0
2054559;4641-9/03;Comércio atacadista de artigos de armarinho;0
2066101;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2066688;4789-0/02;Comércio varejista de plantas e flores naturais;1
2066688;8130-3/00;Atividades paisagísticas;0
2066688;0122-9/00;Cultivo de flores e plantas ornamentais;0
2066688;7729-2/99;Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;0
2066688;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2066688;8230-0/01;Serviços de organização de feiras, congressos, exposições e festas;0
2071025;2541-1/00;Fabricação de artigos de cutelaria;1
2071471;4541-2/06;Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;1
2071471;4542-1/01;Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;0
2071471;4754-7/02;Comércio varejista de artigos de colchoaria;0
2071471;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2071471;7319-0/02;Promoção de vendas;0
2077418;4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;1
2077418;5920-1/00;Atividades de gravação de som e de edição de música;0
2077418;7319-0/03;Marketing direto;0
2077418;3212-4/00;Fabricação de bijuterias e artefatos semelhantes;0
2077418;4649-4/07;Comércio atacadista de filmes, CDs, DVDs, fitas e discos;0
2077418;4647-8/02;Comércio atacadista de livros, jornais e outras publicações;0
2080184;4929-9/02;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1
2081551;2869-1/00;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;1
2081551;2941-7/00;Fabricação de peças e acessórios para o sistema motor de veículos automotores;0
2081551;2866-6/00;Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios;0
2081551;2949-2/99;Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;0
2081551;3092-0/00;Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios;0
2081551;2829-1/99;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;0
2081551;4614-1/00;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;0
2081551;3314-7/99;Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;0
2081551;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;0
2081551;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";0
2081551;2543-8/00;Fabricação de ferramentas;0
2081551;2833-0/00;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;0
2081551;3321-0/00;Instalação de máquinas e equipamentos industriais;0
2081573;4511-1/01;Comércio a varejo de automóveis, camionetas e utilitários novos;1
2081573;5211-7/99;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;0
2081573;4632-0/01;Comércio atacadista de cereais e leguminosas beneficiados;0
2081573;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;0
2081573;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2088415;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;1
2088415;3313-9/01;Manutenção e reparação de geradores, transformadores e motores elétricos;0
2088415;9521-5/00;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;0
2093193;2710-4/02;Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;1
2093193;3321-0/00;Instalação de máquinas e equipamentos industriais;0
2098610;4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente;1
2098610;4647-8/01;Comércio atacadista de artigos de escritório e de papelaria;0
2098610;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
2098610;4782-2/02;Comércio varejista de artigos de viagem;0
2098610;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;0
2098610;4729-6/99;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0
